"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","6179","Verify page title","Mobile Chrome","2026-05-04","failed","2026-05-04","","homepage.spec.js","",""
"","7036","Verify page title","chromium","2026-05-04","failed","2026-05-04","","homepage.spec.js","",""
